ID,Index,Local X,Local Y,Local Z,Local Euler Angle X,Local Euler Angle Y,Local Euler Angle Z
LU8,0,0.5320109,1.183149,0.01033382,0,180,0
HT5,1,0.5347409,1.201589,-0.0443662,42.88575,316.9688,42.88575
HT6,2,0.5433109,1.193439,-0.04218619,42.88575,316.9688,42.88575
HT7,3,0.5516109,1.184849,-0.03968619,49.66964,309.415,49.66964
SI7,4,0.4723109,1.241449,-0.07018621,49.66964,309.415,49.66964
LU6,5,0.402711,1.201349,-0.03128619,270,5.364418E-05,270
LI8,6,0.3957109,1.269749,-0.0095862,0,180,0
SI6,7,0.550231,1.179249,-0.0449562,49.66964,309.415,49.66964
LI7,8,0.4695109,1.218949,0.001803812,0,180,0
SI8,9,0.387941,1.295199,-0.09028621,49.66964,309.415,49.66964
LU7,10,0.505711,1.196049,0.007513818,0,180,0
LI11,11,0.360111,1.219109,-0.0605862,270,5.364418E-05,270
LI5,12,0.550211,1.191089,0.006013807,45.85579,180,45.85579
HT3,13,0.365411,1.295049,-0.01298621,0,180,0
LI6,14,0.5172509,1.206579,0.002303805,37.58199,194.7805,37.58199
HT4,15,0.526611,1.209749,-0.04658619,42.88575,316.9688,42.88575
LU5,16,0.541811,1.189349,0.009813812,32.29044,185.7561,32.29044
LU9,17,0.529611,1.152749,-0.009686191,270,5.364418E-05,270
LI10,18,0.377231,1.284989,-0.0154262,0,180,0
LI9,19,0.382911,1.278249,-0.0136262,0,180,0
PC3,20,0.371611,1.309549,-0.08758621,49.66964,309.415,49.66964
PC4,21,0.4715109,1.258449,-0.06008621,49.66964,309.415,49.66964
PC5,22,0.4940109,1.245049,-0.0528862,49.66964,309.415,49.66964
PC6,23,0.506411,1.233649,-0.0467862,49.66964,309.415,49.66964
PC7,24,0.5534109,1.197449,-0.0272862,49.66964,309.415,49.66964
TE4,25,0.553301,1.191459,-0.03357619,49.66964,309.415,49.66964
TE5,26,0.5340109,1.207549,-0.0394862,43.96811,316.4626,43.96811
TE6,27,0.5116609,1.224009,-0.0491062,43.96811,316.4626,43.96811
TE7,28,0.509851,1.217099,-0.0553262,43.96811,316.4626,43.96811
TE8,29,0.496611,1.235249,-0.0557862,43.96811,316.4626,43.96811
TE9,30,0.455311,1.261749,-0.07088621,43.96811,316.4626,43.96811
TE10,31,0.3600109,1.285249,-0.1021862,0,0,0

