ID,Index,Local X,Local Y,Local Z,Local Euler Angle X,Local Euler Angle Y,Local Euler Angle Z
ST7,0,0.06395093,1.65795,0.06392377,352.1021,262.5276,352.1021
BL8,1,0.02142093,1.78015,-0.0301363,90,180,90
BL3,2,0.009290928,1.76077,0.1079137,33.87629,196.1799,33.87629
SI18,3,0.04021093,1.65205,0.1092337,0,180,0
ST1,4,0.02791093,1.66325,0.1112137,0,180,0
SI19,5,0.06944093,1.67405,0.03361373,0,270,0
BL6,6,0.02146093,1.7939,0.0338937,71.06461,247.9199,71.06461
BL1,7,0.009410926,1.67885,0.1092138,0,180,0
ST4,8,0.03441093,1.61045,0.1052138,0,245,0
ST3,9,0.03676093,1.62453,0.1063138,0,245,0
BL9,10,0.02211093,1.69325,-0.07577629,0,0,0
BL2,11,0.009410926,1.69285,0.1283138,0,180,0
LI20,12,0.02321093,1.63945,0.1185138,-2.732075E-05,180,-2.732075E-05
ST5,13,0.05141093,1.59865,0.06571376,2.414837E-05,270,2.414837E-05
ST6,14,0.06181093,1.61595,0.03291374,2.414837E-05,270,2.414837E-05
BL4,15,0.02094093,1.76119,0.1034337,36.34966,197.767,36.34966
BL5,16,0.02094093,1.76925,0.09381371,36.34966,197.767,36.34966
ST8,17,0.05695093,1.75965,0.06082368,0,270,0
BL7,18,0.02159093,1.79127,-5.633384E-05,71.51551,306.026,71.51551
LI19,19,0.01091093,1.62645,0.1321138,-2.732075E-05,180,-2.732075E-05
ST2,20,0.02791093,1.65055,0.1160138,0,180,0
TE17,21,0.06613093,1.64955,0.01191377,0,270,0
TE18,22,0.06611092,1.66565,0.0007137582,0,270,0
TE19,23,0.07227093,1.69035,-0.005086251,0,270,0
TE20,24,0.07341094,1.70745,0.01191377,0,270,0
TE21,25,0.07024093,1.68215,0.03331374,0,270,0
TE22,26,0.07151093,1.69425,0.03331374,0,270,0
TE23,27,0.05521093,1.68715,0.09811377,0,270,0
GB1,28,0.05321093,1.67075,0.09561378,0,222.5789,0
GB2,29,0.06836092,1.66515,0.03331374,0,270,0
GB3,30,0.06404093,1.67175,0.06340378,0,269.05,0
GB4,31,0.06418093,1.74465,0.0589137,0,270,0
GB5,32,0.06671093,1.73135,0.05441367,0,270,0
GB6,33,0.06801093,1.71965,0.04871374,0,270,0
GB7,34,0.07011092,1.70965,0.04261374,0,270,0
GB8,35,0.07211094,1.73415,0.01191371,0,270,0
GB9,36,0.07161093,1.73415,0.0008137152,0,270,0
GB10,37,0.06941093,1.70885,-0.01808626,0,270,0
GB11,38,0.05921093,1.66435,-0.02128626,0,270,0
GB12,39,0.05611093,1.62105,-0.008686252,0,270,0
GB13,40,0.03931092,1.76045,0.09071373,36.34966,197.767,36.34966
GB14,41,0.02951093,1.72145,0.1157138,0,180,0
GB15,42,0.03061092,1.76045,0.09831368,36.34966,197.767,36.34966
GB16,43,0.03061092,1.76945,0.08631372,36.34966,197.767,36.34966
GB17,44,0.03061092,1.78065,0.06691372,36.34966,197.767,36.34966
GB18,45,0.03061092,1.79059,0.0338937,71.06461,247.9199,71.06461
GB19,46,0.04521093,1.69325,-0.06228627,0,0,0
GV17,47,0.0002109266,1.69325,-0.07818628,0,0,0
GV18,48,0.0002109266,1.73255,-0.07588632,14.72863,1.347017E-11,14.72863
GV19,49,0.0002109266,1.77285,-0.05008633,90,180,90
GV20,50,0.0002109266,1.79355,-0.0002862886,90,180,90
GV21,51,0.0002109266,1.79685,0.03441369,90,180,90
GV22,52,0.0002109266,1.78885,0.06941371,90,180,90
GV23,53,0.0002109266,1.77395,0.09721368,30.51578,180,30.51578
GV24,54,0.0002109266,1.76114,0.1098437,30.51578,180,30.51578
GV25,55,0.0002109266,1.64195,0.1518738,-2.732075E-05,180,-2.732075E-05
GV26,56,0.0002109266,1.62645,0.1339138,-2.732075E-05,180,-2.732075E-05
GV27,57,0.0002109266,1.62039,0.1339138,-2.732075E-05,180,-2.732075E-05
GV28,58,0.001010929,1.62125,0.1302538,-2.732075E-05,180,-2.732075E-05
CV24,59,0.0002109266,1.58805,0.1204138,-2.732075E-05,180,-2.732075E-05

