ID,Index,Local X,Local Y,Local Z,Local Euler Angle X,Local Euler Angle Y,Local Euler Angle Z
SP5,0,0.1151109,0.1326495,-0.02208607,0,90,0
ST38,1,0.1523109,0.3593495,0.03933389,0,180,0
SP8,2,0.08731093,0.3978496,-0.03758612,0,90,0
ST41,3,0.1455109,0.1312495,0.01488392,0,180,0
ST35,4,0.1561109,0.5333496,0.05161386,0,180,0
ST39,5,0.1492109,0.3226496,0.0344139,0,180,0
ST40,6,0.1858109,0.3559496,0.0201139,0,180,0
SP7,7,0.09004092,0.3201495,-0.03758612,0,90,0
SP9,8,0.08641092,0.4893495,-0.03758613,0,90,0
ST36,9,0.1554109,0.4681496,0.05161388,0,180,0
ST37,10,0.1535109,0.3950496,0.04063389,0,180,0
SP6,11,0.1083009,0.2167496,-0.0375861,0,90,0
BL39,12,0.1515109,0.5304496,-0.06854615,0,0,0
BL40,13,0.1318109,0.5304496,-0.06968615,0,0,0
BL55,14,0.1406109,0.4810496,-0.08249613,0,0,0
BL56,15,0.1521109,0.4002497,-0.1073061,0,0,0
BL57,16,0.1521109,0.3318496,-0.1030861,0,0,0
BL58,17,0.1621109,0.2962496,-0.09308612,0,0,0
BL59,18,0.1621109,0.2366495,-0.07553611,0,0,0
BL60,19,0.1621109,0.1335496,-0.05213609,0,0,0
KI7,20,0.1196909,0.1948496,-0.0629861,0,90,0
KI8,21,0.1120109,0.1948496,-0.0375861,0,90,0
KI9,22,0.1024409,0.2692495,-0.06068611,0,90,0
KI10,23,0.1019509,0.5117096,-0.06068613,0,90,0
GB34,24,0.1883909,0.4902496,-0.006686127,0,270,0
GB35,25,0.2037709,0.3283496,-0.02138611,0,270,0
GB36,26,0.1994109,0.3283496,-0.008286109,0,270,0
GB37,27,0.1932209,0.2703496,-0.008286102,0,270,0
GB38,28,0.1895109,0.2436496,-0.008286094,0,270,0
GB39,29,0.1839109,0.2199496,-0.008286094,0,270,0
GB40,30,0.1724209,0.1392495,-0.01498607,0,270,0
LR4,31,0.1206909,0.1381494,-0.001386082,0,90,0
LR5,32,0.1024409,0.2692495,-0.0197861,0,90,0
LR6,33,0.09580092,0.3100496,-0.01978611,0,90,0
LR7,34,0.1019109,0.4893495,-0.06078614,0,90,0
LR8,35,0.1689109,0.5333496,0.02645386,0,180,0

